cau_hoi,phuong_an_A,phuong_an_B,phuong_an_C,phuong_an_D,dap_an_dung
"Âm “z” trong tiếng Trung khi phát âm, đầu lưỡi đặt ở vị trí nào?",Chạm vào mặt sau răng cửa dưới,Chạm vào mặt trước răng cửa trên,Chạm vào ngạc cứng vòm miệng,Cuộn lên chạm ngạc mềm,A
Chọn pinyin đúng cho âm “ch” trong 吃饭:,Chi1 fan3,Chï fan,Chr fan,Chī fàn,D
Phát âm “sh” khác với “s” chủ yếu ở:,Không bật hơi,Có rung thanh quản,Đầu lưỡi cuộn lên,Môi tròn hơn,C
Pinyin nào dưới đây viết đúng quy tắc thanh điệu?,xǐe,xuě,xüě,xiě,B
Cách phát âm “j/q/x” khác “z/c/s” chủ yếu do:,Vị trí lưỡi phẳng hơn,Lưỡi nâng lên gần ngạc cứng,Môi chu ra trước,Có bật hơi mạnh,B
Chọn cặp pinyin đúng cho hai từ sau: 四——是:,sì – shì,sí – shí,cả hai đều đúng,cả hai đều sai,A
Pinyin “lǜ” có thanh điệu số mấy?,4,3,2,1,A
Âm nào là âm bật hơi trong các âm sau?,z,zh,j,x,B
Chữ 女 trong từ 女人 có pinyin đúng là:,nǚ,nü3,nv3,nũ3,A
Chọn pinyin đúng cho “Hải Phòng”:,háifáng,hǎifáng,hàifàng,hāifàng,B
Phân biệt “zǎo” và “zhǎo” dựa vào:,Độ dài nguyên âm,Cuốn lưỡi hay không,Bật hơi hay không,Cao độ giọng,B
Pinyin “xièxie” (cảm ơn) có thanh điệu đúng là:,xièxiē,xièxíe,xièxie,xiěxiè,C
Âm “r” trong tiếng Trung (ví dụ “rì”) đọc giống:,Âm “z” nhưng bật hơi,Âm “l” miệng mở,Âm “s” rung thanh quản,Âm “zh” nhưng hữu thanh,D
Pinyin nào có vị trí đánh thanh sai?,shuǐ,lèi,toū,hǎo,C
