id,cau_hoi,phuong_an_A,phuong_an_B,phuong_an_C,phuong_an_D,dap_an_dung
1,"Loại chữ 日 (mặt trời), 山 (núi) là loại chữ gì?",Chữ tượng hình,Chữ chỉ sự,Chữ hội ý,Chữ hình thanh,A
2,Chữ 上 (trên) và 下 (dưới) thuộc loại chữ nào?,Tượng hình,Chỉ sự,Hội ý,Hình thanh,B
3,Chữ 休 (nghỉ ngơi) = 人 (người) + 木 (cây) là ví dụ của loại chữ gì?,Tượng hình,Chỉ sự,Hội ý,Hình thanh,C
4,Chữ 妈 (mẹ) gồm bộ 女 (nữ) và 马 (mã). Đây là loại chữ gì?,Tượng hình,Chỉ sự,Hội ý,Hình thanh,D
5,"Trong chữ hình thanh, bộ phận nào thường biểu thị ý nghĩa?",Bộ chỉ âm,Bộ chỉ nghĩa (bộ thủ),Cả hai đều biểu thị ý nghĩa,Không bộ nào,B
6,Chữ 林 (rừng) = 木 (cây) + 木 (cây) được tạo theo cách nào?,Tượng hình,Chỉ sự,Hội ý,Hình thanh,C
7,Đặc điểm của chữ tượng hình là gì?,Biểu thị ý niệm trừu tượng,Vẽ hình dáng sự vật,Kết hợp nhiều chữ đơn,Có bộ chỉ âm và nghĩa,B
8,"Bộ thủ 氵 trong chữ 河 (sông), 海 (biển) cho biết điều gì?",Liên quan lửa,Liên quan nước,Liên quan đất,Liên quan kim loại,B
9,Chữ nào sau đây KHÔNG phải là chữ tượng hình?,山 (núi),水 (nước),休 (nghỉ),火 (lửa),C
10,Loại chữ nào chiếm tỷ lệ nhiều nhất trong chữ Hán (khoảng 80-90%)?,Tượng hình,Chỉ sự,Hội ý,Hình thanh,D
