cau_hoi,phuong_an_A,phuong_an_B,phuong_an_C,phuong_an_D,dap_an_dung
"Chữ ""妈"" gồm bộ 女 và 马. Loại chữ này là?",Chữ tượng hình,Chữ chỉ sự vật,Chữ hội ý,Chữ hình thanh,D
"Chữ ""林"" (rừng) gồm hai cây 木. Đây là chữ?",Tượng hình,Hội ý,Giả tá,Hình thanh,B
"Chữ ""休"" (nghỉ) gồm người 亻 dựa vào cây 木. Đây là chữ?",Tượng hình,Chỉ sự vật,Hội ý,Hình thanh,C
"Chữ ""上"" (trên) có nét chỉ vị trí phía trên đường. Đây là chữ?",Tượng hình,Chỉ sự vật,Hội ý,Giả tá,B
"Chữ ""江"" (sông) gồm bộ thủy 氵 và 工. Loại chữ này là?",Hình thanh,Hội ý,Tượng hình,Chỉ sự vật,A
"Trong câu ""我吃了饭"", trợ từ ""了"" biểu thị điều gì?",Hành động đang xảy ra,Hành động đã hoàn thành,Hành động sắp xảy ra,Hành động thường xuyên,B
"Trong câu ""我在吃饭"", ""内"" biểu thị?",Địa điểm,Thời gian,Hành động đang tiếp diễn,Phương hướng,C
"Cấu trúc ""越来越 + adj"" có nghĩa là?",Càng ngày càng...,Vừa... vừa...,Cũng... cũng...,Tuy... nhưng...,A
"Câu ""他是学生吗?"" dùng ""吗"" để làm gì?",Hỏi lựa chọn,Hỏi nghi vấn,Hỏi số lượng,Hỏi nguyên nhân,B
"Chữ ""明"" (sáng) gồm mặt trời 日 và mặt trăng 月. Loại chữ này?",Hình thanh,Hội ý,Chỉ sự vật,Giả tá,B
"Bổ ngữ kết quả trong câu ""我看完了书"" là?",看,书,完,了,C
"Từ nghi vấn ""哪"" dùng để hỏi?",Ai,Đâu/ nào,Gì,Sao,B
"一件衣服 - lượng từ ""件"" dùng cho loại vật gì?",Người,Động vật,Quần áo/ đồ vật nhỏ,Phương tiện,C
"Chữ ""囚"" (tù nhân) gồm người trong khung. Đây là chữ?",Tượng hình,Chỉ sự vật,Hội ý,Giả tá,C
"Chữ ""水"" (nước) - hình dạng giống dòng nước. Đây là chữ?",Tượng hình,Chỉ sự vật,Hội ý,Hình thanh,A
"Trong câu ""你比我高"", ""比"" biểu thị?",So sánh ngang bằng,So sánh hơn kém,Địa điểm,Thời gian,B
"Câu ""你要茶还是咖啡?"" là dạng câu hỏi gì?","Hỏi ""吗""","Hỏi lựa chọn ""A还是B""","Hỏi ""呢""","Hỏi ""吧""",B
"Cấu trúc ""是... de"" dùng để?",Nhấn mạnh thời gian,Nhấn mạnh địa điểm,Nhấn mạnh cách thức/ đối tượng/ thời gian trong quá khứ,Nhấn mạnh tần suất,C
"Chữ ""众"" (đám đông) gồm ba người 人. Loại chữ này?",Hình thanh,Chỉ sự vật,Hội ý,Giả tá,C
"Chữ ""湖"" (hồ) có bộ thủy 氵 và 胡. Đây là chữ?",Tượng hình,Hội ý,Hình thanh,Chỉ sự vật,C
"一本书 - lượng từ ""本"" dùng cho?",Sách vở - Băng đĩa,Quần áo,Xe cộ,Con vật,A
"Trợ từ động thái ""着"" biểu thị?",Hành động hoàn thành,Hành động đang tiếp diễn/ trạng thái tồn tại,Hành động sắp xảy ra,Hành động kinh nghiệm,B
"Trong câu ""我去过北京"", ""过"" biểu thị?",Hành động đang xảy ra,Hành động đã có kinh nghiệm,Hành động hoàn thành,Hành động tương lai,B
"Chữ ""歪"" (xiên) gồm 不 + 正. Loại chữ này?",Tượng hình,Hội ý,Hình thanh,Giả tá,B
"Câu hỏi ""......，好吗?"" dùng để?",Hỏi thông tin,Đề nghị/ xin ý kiến,Hỏi lý do,Hỏi địa điểm,B
"Chữ ""本"" gốc là hình cây có gốc đánh dấu. Nghĩa gốc?",Ngọn cây,Thân cây,Gốc cây,Rễ cây,C
"Cặp quan hệ từ ""因为...所以..."" biểu thị?",Điều kiện - kết quả,Nhượng bộ,Nguyên nhân - kết quả,Tương phản,C
"Bổ ngữ xu hướng trong câu ""他走进教室"" là?",走,进,走进,教室,B
"Chữ ""武"" (võ) bị cho là loại chữ?",Hội ý,Giả tá,Chỉ sự vật,Hình thanh,A
"Trong câu ""你唱得真好"", trợ từ kết cấu ""得"" đứng sau?",Động từ,Tính từ,Tân ngữ,Chủ ngữ,A
